Date,Action,Price,Shares,Balance,Gain/Loss
2022-10-27,buy,724.9000244140625,137.0,688.6966552734375,
2022-11-11,sell,577.7000122070312,137.0,79833.59832763672,-20166.40167236328
2022-12-15,buy,521,153.0,120.59832763671875,
2023-01-10,sell,531.5,153.0,81440.09832763672,1606.5
2023-02-13,buy,258.29998779296875,315.0,75.6021728515625,
2023-03-17,sell,232.3000030517578,315.0,73250.10313415527,-8189.995193481445
2023-04-06,buy,197.1999969482422,371.0,88.90426635742188,
2023-05-08,sell,175.8000030517578,371.0,65310.70539855957,-7939.397735595703
2023-06-09,buy,101.80000305175781,641.0,56.9034423828125,
2023-08-29,sell,85,641.0,54541.90344238281,-10768.801956176758
2023-09-18,buy,87.5,623.0,29.4034423828125,
2023-10-06,sell,88.69999694824219,623.0,55289.501541137695,747.5980987548828
2023-10-20,buy,99.30000305175781,556.0,78.69984436035156,
2023-11-02,sell,90.69999694824219,556.0,50507.89814758301,-4781.6033935546875
2023-11-30,buy,68.9000015258789,733.0,4.197029113769531,
2023-12-15,sell,60.5,733.0,44350.69702911377,-6157.201118469238
2023-12-28,buy,57.099998474121094,776.0,41.09821319580078,
2024-01-19,sell,52.900001525878906,776.0,41091.49939727783,-3259.1976318359375
2024-02-01,buy,50,821.0,41.49939727783203,
2024-02-02,sell,42.79999923706055,821.0,35180.29877090454,-5911.200626373291
2024-02-20,buy,42.099998474121094,835.0,26.800045013427734,
2024-04-29,sell,36.47999954223633,835.0,30487.59966278076,-4692.699108123779
2024-05-31,buy,32.630001068115234,934.0,11.178665161132812,
2024-06-12,sell,27.270000457763672,934.0,25481.359092712402,-5006.240570068359
2024-06-25,buy,25.920000076293945,983.0,1.9990177154541016,
2024-06-26,sell,24.709999084472656,983.0,24291.928117752075,-1189.4309749603271
2024-06-28,buy,24.649999618530273,985.0,11.67849349975586,
2024-07-01,sell,23.100000381469727,985.0,22765.178869247437,-1526.7492485046387
2024-07-12,buy,21.450000762939453,1061.0,6.728059768676758,
2024-08-13,sell,25.639999389648438,1061.0,27210.76741218567,4445.588542938232
2024-09-03,buy,26.850000381469727,1013.0,11.717025756835938,
2024-09-12,sell,23.239999771118164,1013.0,23553.836793899536,-3656.930618286133
2024-10-02,buy,22.489999771118164,1047.0,6.807033538818359,
2024-10-08,sell,20.520000457763672,1047.0,21491.247512817383,-2062.5892810821533
2024-10-17,buy,20.200000762939453,1063.0,18.64670181274414,
2024-10-18,sell,19.389999389648438,1063.0,20630.216053009033,-861.0314598083496
2024-10-23,buy,20.1200008392334,1025.0,7.215192794799805,
2024-10-25,sell (forced),448.6499938964844,1025.0,459873.4589366913,439243.24288368225

Summary
Total Gain/Loss,$359873.46
Annual Return (%),35.50%
Total Return (%),359.87%
Current Balance,$459873.46
